ride_slug,ride_name,button_slug,label,kind,state,file,path
breakdance,BreakDance,emergencystop,NOT-AUS,hold,idle,breakdance_emergencystop_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_emergencystop_idle.png
breakdance,BreakDance,emergencystop,NOT-AUS,hold,hold,breakdance_emergencystop_hold.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_emergencystop_hold.png
breakdance,BreakDance,onoff,EIN/AUS,press,idle,breakdance_onoff_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_onoff_idle.png
breakdance,BreakDance,onoff,EIN/AUS,press,pressed,breakdance_onoff_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_onoff_pressed.png
breakdance,BreakDance,kompressor,Kompressor,toggle,off,breakdance_kompressor_off.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kompressor_off.png
breakdance,BreakDance,kompressor,Kompressor,toggle,on,breakdance_kompressor_on.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kompressor_on.png
breakdance,BreakDance,plattespeeddown,Platte -,repeat,idle,breakdance_plattespeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattespeeddown_idle.png
breakdance,BreakDance,plattespeeddown,Platte -,repeat,repeat,breakdance_plattespeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattespeeddown_repeat.png
breakdance,BreakDance,plattespeedup,Platte +,repeat,idle,breakdance_plattespeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattespeedup_idle.png
breakdance,BreakDance,plattespeedup,Platte +,repeat,repeat,breakdance_plattespeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattespeedup_repeat.png
breakdance,BreakDance,platte,Platte,toggle,off,breakdance_platte_off.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_platte_off.png
breakdance,BreakDance,platte,Platte,toggle,on,breakdance_platte_on.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_platte_on.png
breakdance,BreakDance,plattetippen,Platte Tip,press,idle,breakdance_plattetippen_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattetippen_idle.png
breakdance,BreakDance,plattetippen,Platte Tip,press,pressed,breakdance_plattetippen_pressed.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_plattetippen_pressed.png
breakdance,BreakDance,kreuzspeeddown,Kreuz -,repeat,idle,breakdance_kreuzspeeddown_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuzspeeddown_idle.png
breakdance,BreakDance,kreuzspeeddown,Kreuz -,repeat,repeat,breakdance_kreuzspeeddown_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuzspeeddown_repeat.png
breakdance,BreakDance,kreuzspeedup,Kreuz +,repeat,idle,breakdance_kreuzspeedup_idle.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuzspeedup_idle.png
breakdance,BreakDance,kreuzspeedup,Kreuz +,repeat,repeat,breakdance_kreuzspeedup_repeat.png,/mnt/data/streamdeck_kirmes_icons_v2/breakdance/breakdance_kreuzspeedup_repeat.png
